TxHashId,Fee
16fbfacde668262abd6923fa9bbca5f01735459c77912c6958737d454fd0e014,0.0011954 BTC
144e87160594fc75341565aad90f163f5852b5e64af60e6398ac832a90c2ddac,0.0016954 BTC
418968d265ecb6bd57d716e13fb72eb78c7e6fbd601936be48c29d022f97b647,0.0011954 BTC
c30144f9dbde23673d5f795ab39aa5fe7b2f8863919bfc3cd33459f3ae465cea,0.0016954 BTC
2cc9d7135262fbffd3cf5fe3f4ce7566111f963fcc23e04b997d2c593540fd96,0.0011954 BTC
e36a85b71821a20772ba5edbbc06417cf4ce26243b07dd925267a50ae9401da7,0.0016954 BTC
093f6405cc2a1254de937976b28efa4f21e67c3e223034a66167e311530634c5,0.0011954 BTC
841f4777b404957d06263c7e79ca1f5cd9b350ad44290f4237db267613dd3270,0.0016954 BTC
a9187eaed338adf8bcd5eb0065941809bbb2a8159afccab385090732eaddb01c,0.0009454 BTC
ff12ab9e68daea3dcecaab07f9db2c66fa5b959c6001be6b3c5f9dc47bacae15,0.0011954 BTC
dd84335b77675b00e7afac4e502fa814682118aeb4b413413633d88864ff7a72,0.0016954 BTC
0d9d9a86363843587790abd7f90d46c28a577ed8bbd6fb6b379e3a64cb251b0b,0.0011954 BTC
c43f8a1bd58e1175e8a1b8ebb0cd156a14ed883cd8bbe77c8b1dca47146cb18e,0.0016954 BTC
770cad2128f37075b729c13bde789c1421864e8ca1ee5b94290d5e0d8a51a128,0.0011954 BTC
52e471ba1639fd9a7e64a2fb4871c7d9fcc169bccd2fb91f3c21a0cb21b3aa9d,0.0011954 BTC
4e8801449cf7869bc87534526ff3b34a67b04f8148d0313443009f7f0923f964,0.0009454 BTC
719a6b1d8a9f8e811a1bfda5869464dc2d35198d72dcb9255f3b29a299effbce,0.0016954 BTC
e96080ca4fe48e22d0842d9c198e790a183874332ab5afe6aae43a075e0f97c2,0.0011954 BTC
ae17632991deda05e2d9b82751536c5113673bb9e25f61ade12f3ca179516bcd,0.0014454 BTC
cb9b7618791e2a1b6f4fbd1d9aba2485bd6a407396961d249e88cfb594a68342,0.0013908 BTC
e687978f761e5a06c412de29db72b1c96660590cc42e4e748428a7149baf45eb,0.0014454 BTC
d4e1712e8a1216ef8bda1bf75339b954032628b3facd76e175cf5b956341955a,0.0011954 BTC
c8c4db54d3d6cd556aace445c4de756fa0e5448b9307a084471d234691ca2df4,0.0016954 BTC
447324ac24a79ea7d9bd6a5946730b9ced6127dd8ef87c5fd1beaaace6300967,0.0014454 BTC
2c139943dca2216f890c2b4985a97b127aac2b8ed1cee30a8792bc727c9989ed,0.0019454 BTC
b54218aa1c8ac3cd35c5aadc4840f6c197674abc9d039b22261d458afb237c78,0.0011954 BTC
0cf772d0e8e541918687c20830d92b7a5156ea5f50d703c7b00a9250262b81f6,0.0016954 BTC
557846bef289731037bbaffc331ed4241efd5b5f38f51931b94c9a18267fca21,0.0011954 BTC
5ed1bee954f20aabf5e218423a296c1fc1e96cac4e235a6fff770b566ba24d16,0.0014454 BTC
92e84968695573e61497091db4dcd74606c82e3caf828e4ae9470cceb62ac9ca,0.0009454 BTC
0448ca8cbcd7f4dcba68cb9f5e397b00c598cbf24903a32072367db32c0dc9a4,0.0014454 BTC
93dd9c1d9bc5751ef72a4fcc4bb820d6885f81a54631e4d37653c6a4fac226ed,0.0006954 BTC
eb127a86a77ebb91f3fee9e13dc5fb42f84f9b3f20da589dde66a3d0e6566838,0.0016954 BTC
f850934ab29834c4037abbd1cdfa99b0f946f171543b21934fd5f26c48348262,0.0009454 BTC
06b5dedd0985bbd40eb28858bd7e730d1c87a745e8187affc2464623076372f6,0.0019454 BTC
cc70c73f1800bdc344008acd3f71ce56c59a7e37efeaa56ff05a9f7e205b1d17,0.0009454 BTC
7f14116eb29234b4b6294a800d84d156193f053ba5024de57c9e0c7f656b1045,0.0016954 BTC
b38837de50315053aa75cdfb70c06b28b8c28011abb2e11836feea887153fcfb,0.0006954 BTC
9dbd88eea15fcbb92fc79362a2a37c5d1e7b6972a80c59516f05e7d66a47987b,0.0014454 BTC
338ef4cd9b58780572d66d34ddd7c0eb827aeb40effe21380c2f22fd5a89da9e,0.0009454 BTC
